water_temperature,salinity,ph,dissolved_oxygen,ammonia,rainfall,stocking_density,pond_size,water_exchange_rate,wssv_history,probiotics_used,antibiotics_used,culture_duration,year,month,outbreak_probability,temp_salinity_interaction,water_quality_index,farm_risk_score,month_sin,month_cos,country_India,country_Indonesia,country_Philippines,country_Thailand,country_Vietnam,season_Dry,season_Wet
-0.20659685,0.0032544248,-0.0016634642,0.0034600752,0.0033727277,0.00036287575,-0.0067337113,0.005475062,-0.0041115945,-0.0019071415,0.0,0.0,0.0038530363,-0.0071244547,0.0025781882,-0.97400266,-0.0048341895,0.0035065392,-0.0130011495,0.0,0.0027126484,0.0,0.00049930677,0.0,0.0,0.0,0.0,0.0
-0.21112826,-0.0008726842,0.001784362,-0.0009669777,-0.0079030655,-0.001250956,0.0015350606,-0.004106901,-0.0041115945,-0.00024433224,0.0,0.0,-0.00044121296,0.0013069912,-0.00063201843,-0.97400266,-0.009343724,-0.004536341,-0.0064635407,0.0,0.0064121964,0.0,-0.004996591,0.0,0.0,0.0,0.0,0.0
-0.20609055,-0.0008726842,-0.0022780444,-0.0009079508,-0.0036240309,0.007449362,-0.0021468324,0.010906266,-0.0041115945,-0.00033203693,0.0,0.0,0.001405299,0.0013167679,0.0010346493,-0.97400266,-0.012963664,-0.0109045645,-0.0130011495,0.0,-6.1760686e-05,0.0,0.00070988655,0.0,0.0,0.0,0.0,0.0
-0.21215184,-0.0008726842,0.0018918753,-0.0045455443,-0.005299009,-0.0022565064,0.0015350606,0.0104645565,-0.0041115945,-0.00024433224,0.0,0.0,0.0020099122,0.0013069912,0.0010346493,-0.97400266,-0.009343724,-0.0046525104,-0.005758795,0.0,0.0016367028,0.0,0.00061975734,0.0,0.0,0.0,0.0,0.0
0.26223856,0.007069646,-0.0315314,-0.012288593,-0.002130784,-0.000926279,0.00369439,0.007435064,-0.0014618379,-0.0010748324,0.0,0.0,0.0020419655,-0.0067988904,0.0034620594,1.2010028,0.014300023,0.0027481858,-0.00011682871,0.0,-0.00022962419,0.0,0.0013484219,0.0,0.0,0.0,0.0,0.0
0.2762357,0.008322988,0.0058772266,0.0019638722,0.0009050926,-0.0019318293,0.00079962227,0.00550991,0.010293593,-0.00033203693,0.0,0.0,0.0022686557,0.002983779,0.0034620594,1.2010028,0.0124844415,0.0043690214,-0.00082556147,0.0,0.0018412885,0.0,0.0026701759,0.0,0.0,0.0,0.0,0.0
0.26681396,-0.0018530372,0.0063947137,0.0019638722,0.00079768687,-0.0019318293,0.0014198229,-0.0076423986,-0.0014618379,0.0006622425,0.0,0.0,-0.0015910773,0.0013692989,0.0023622871,1.2010028,0.006800736,0.0043690214,0.013715929,0.0,-0.00025378633,0.0,0.0026701759,0.0,0.0,0.0,0.0,0.0
0.2115407,-0.0010315733,-0.012129064,-0.0016293142,-0.0017543428,-0.016032819,0.0054005375,0.0048101433,-0.0014618379,-0.0010748324,0.0,0.0,0.002821799,-0.0042411247,-0.003972221,1.2010028,-0.0065431497,0.0049627675,-0.000660813,0.0,-0.0005836362,0.0,0.000589436,0.0,0.0,0.0,0.0,0.0
-0.21514939,-0.0008726842,0.0018172272,-0.0009079508,-0.0079030655,0.00036287575,-0.0020020646,-0.0102807935,-0.0041115945,0.0008999588,0.0,0.0,-0.00044121296,-5.9995666e-05,-0.00063201843,1.2010028,-0.011288685,-0.0109045645,-0.0064635407,0.0,0.0027744607,0.0,0.00070988655,0.0,0.0,0.0,0.0,0.0
0.07285729,-0.002194398,0.0063947137,0.0019638722,-0.0048970273,-0.0019318293,0.0011067023,0.007449275,-0.002343636,-0.00024433224,0.0,0.0,0.0020099122,0.0018981838,0.0027219856,1.2010028,0.018153287,-0.0020617046,-0.0066823196,0.0,0.0014688394,0.0,0.0026701759,0.0,0.0,0.0,0.0,0.0
